NPA_NAME,ADDRESS,DOLLAR_PER_SF_PER_YEAR,MILES_TO_PUB_TRANS,NUMBER_OF_NEARBY_RESTAURANTS
Greater Candleridge\ Meadow Creek,3439 Altamesa Blvd,16,0.1,6
Greater Candleridge\ Meadow Creek,7674 McCart Ave,18,0.1,3
Greater Candleridge\ Meadow Creek,6207 S Hulen St,22,0.3,5
Greater TCU,3150 S Hulen St,35,0.1,4
Greater TCU,1664 S University Dr,50,0.1,4
Greater TCU,1007 S Main St,24,0.05,1
North Fort Worth,5636 North Tarrant Pky,32,1.6,6
Greater Marine Creek,3980 Boat Club Rd,16,0.4,5
Greater Marine Creek,4450 Boat Club Rd,16,1,7
North Side,2973 W 7th St,35,0.1,7
North Side,500 Taylor St,28,0.8,6
North Fort Worth,4550 Basswood Blvd,25,0.2,4
North Fort Worth,7451 N Beach St,16,0.3,3
North Fort Worth,3300 Heritage Trace Pkwy,15.97,0.2,11
North Fort Worth,6238 Rufe Snow Dr,19.5,1.3,8
Greater Marine Creek,6761 Old Decatur Rd,29,2.1,0
Greater TCU,504 W Rosedale St,20,0.2,3
Greater TCU,2834 S Hulen St,37,0.1,2
North Side,1978 Ephriham Avenue,15,0.2,6
North Side,5932 River Oaks Blvd,14,0.4,2
North Side,3020 Race St,13,0.05,5
